table_number,table_title,title_fr,row_label,row_kind,year,value,provisional,n_editions,agreement,edition,page
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Epargne Projet et investissement,data,2023,29.8,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Epargne bancaire,data,2021,25522.0,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Epargne bancaire,data,2022,27953.5,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Epargne bancaire,data,2023,30929.0,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Epargne logement,data,2021,1538.4,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Epargne logement,data,2022,1616.6,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Epargne logement,data,2023,1695.6,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Epargne postale,data,2021,7582.0,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Epargne postale,data,2022,8246.9,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Epargne postale,data,2023,9293.2,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Monnaie fiduciaire,data,2021,16572.5,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Monnaie fiduciaire,data,2022,18165.0,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Monnaie fiduciaire,data,2023,20079.4,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Monnaie scripturale,data,2021,27729.6,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Monnaie scripturale,data,2022,29212.5,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Monnaie scripturale,data,2023,31747.4,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Obligations et emprunts à plus d'un an,data,2021,959.5,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Obligations et emprunts à plus d'un an,data,2022,775.4,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Obligations et emprunts à plus d'un an,data,2023,924.8,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,TOTAL RESSOURCES,aggregate,2021,137517.7,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,TOTAL RESSOURCES,aggregate,2022,149986.6,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,TOTAL RESSOURCES,aggregate,2023,165218.9,False,1,single source,2023,245
