wave,product_ar,region,expenditure_pc_millimes
2005,بقول و توابل,National,19276.0
2005,بقول و توابل,North East,16299.0
2005,بقول و توابل,North West,19037.0
2005,بقول و توابل,South East,19009.0
2005,بقول و توابل,South West,20368.0
2005,بنزين مخلط للدراجات النارية,Centre East,8660.0
2005,بنزين مخلط للدراجات النارية,Centre West,1077.0
2005,بنزين مخلط للدراجات النارية,Grand Tunis,1152.0
2005,بنزين مخلط للدراجات النارية,National,4260.0
2005,بنزين مخلط للدراجات النارية,North East,5287.0
2005,بنزين مخلط للدراجات النارية,North West,1513.0
2005,بنزين مخلط للدراجات النارية,South East,5722.0
2005,بنزين مخلط للدراجات النارية,South West,7719.0
2005,بنك,Centre East,1509.0
2005,بنك,Centre West,1076.0
2005,بنك,Grand Tunis,2150.0
2005,بنك,National,2822.0
2005,بنك,North East,932.0
2005,بنك,North West,2100.0
2005,بنك,South East,14553.0
2005,بنك,South West,2022.0
2005,بيت نوم,Centre East,5205.0
2005,بيت نوم,Centre West,2295.0
2005,بيت نوم,Grand Tunis,4252.0
2005,بيت نوم,National,4492.0
2005,بيت نوم,North East,6036.0
2005,بيت نوم,North West,3111.0
2005,بيت نوم,South East,5059.0
2005,بيت نوم,South West,6092.0
2005,بيض,Centre East,13008.0
2005,بيض,Centre West,9023.0
2005,بيض,Grand Tunis,12383.0
2005,بيض,National,11751.0
2005,بيض,North East,12004.0
2005,بيض,North West,13062.0
2005,بيض,South East,9563.0
2005,بيض,South West,10864.0
2005,تأمين الدراجة النارية,Centre East,7061.0
2005,تأمين الدراجة النارية,Centre West,1388.0
2005,تأمين الدراجة النارية,Grand Tunis,831.0
2005,تأمين الدراجة النارية,National,3803.0
2005,تأمين الدراجة النارية,North East,4422.0
2005,تأمين الدراجة النارية,North West,1702.0
2005,تأمين الدراجة النارية,South East,6538.0
2005,تأمين الدراجة النارية,South West,6990.0
2005,تأمين السيارة,Centre East,14077.0
2005,تأمين السيارة,Centre West,5424.0
2005,تأمين السيارة,Grand Tunis,24022.0
2005,تأمين السيارة,National,12785.0
2005,تأمين السيارة,North East,8587.0
2005,تأمين السيارة,North West,3837.0
2005,تأمين السيارة,South East,15400.0
2005,تأمين السيارة,South West,5225.0
2005,تابل و كروية,Centre East,1592.0
2005,تابل و كروية,Centre West,2285.0
2005,تابل و كروية,Grand Tunis,2027.0
2005,تابل و كروية,National,1913.0
2005,تابل و كروية,North East,1303.0
2005,تابل و كروية,North West,1937.0
2005,تابل و كروية,South East,2096.0
2005,تابل و كروية,South West,2996.0
