outcome,frequency,scale,method,bandwidth,donut,n_left,n_right,tau,se,honest_lo,honest_hi,worst_case_bias,honest_excludes_zero,bias_exceeds_estimate,randomisation_p,randomisation_floor,smoothness,refused
"industrial_prices: Matériaux de construction, céramiques et verre (base 2000)",monthly,log,continuity,36,0,36,24,0.041575,0.010269,0.012515,0.070635,0.012166,True,False,,,6.1e-05,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2000)",monthly,log,continuity,36,1,36,23,0.044871,0.009855,0.015538,0.074204,0.013122,True,False,,,6.1e-05,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2000)",monthly,log,continuity,60,0,60,24,0.043464,0.009235,0.00189,0.085039,0.026384,True,False,,,6.1e-05,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2000)",monthly,log,continuity,60,1,60,23,0.04665,0.008944,0.00455,0.088751,0.027389,True,False,,,6.1e-05,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2000)",monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.001166,0.0005827505827505828,6.1e-05,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2000)",monthly,log,randomisation,12,0,12,13,,,,,,False,False,5e-05,1.9229659827317656e-07,6.1e-05,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2010)",monthly,log,continuity,6,0,6,7,0.000559,0.000996,-0.002284,0.003402,0.001204,False,True,,,0.000164,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2010)",monthly,log,continuity,6,1,6,6,0.000658,0.002579,-0.005388,0.006704,0.001774,False,True,,,0.000164,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2010)",monthly,log,continuity,12,0,12,13,-0.008159,0.00392,-0.019136,0.002818,0.004527,False,False,,,0.000164,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2010)",monthly,log,continuity,12,1,12,12,-0.005813,0.004021,-0.018071,0.006446,0.005644,False,False,,,0.000164,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2010)",monthly,log,continuity,24,0,12,25,-0.007489,0.004268,-0.026892,0.011914,0.012383,False,True,,,0.000164,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2010)",monthly,log,continuity,24,1,12,24,-0.005058,0.004307,-0.026747,0.016631,0.014604,False,True,,,0.000164,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2010)",monthly,log,continuity,36,0,12,37,-0.000301,0.005145,-0.031993,0.031391,0.023229,False,True,,,0.000164,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2010)",monthly,log,continuity,36,1,12,36,0.002665,0.004886,-0.031928,0.037259,0.026557,False,True,,,0.000164,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2010)",monthly,log,continuity,60,0,12,61,-0.002427,0.00551,-0.069355,0.0645,0.057865,False,True,,,0.000164,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2010)",monthly,log,continuity,60,1,12,60,-0.000888,0.005579,-0.073475,0.071698,0.06341,False,True,,,0.000164,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2010)",monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.001748,0.0005827505827505828,0.000164,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2010)",monthly,log,randomisation,12,0,12,13,,,,,,False,False,5e-05,1.9229659827317656e-07,0.000164,
industrial_prices: Mines (base 2000),monthly,log,continuity,6,0,6,7,-0.024619,0.020031,-0.074449,0.02521,0.016795,False,False,,,0.002292,
industrial_prices: Mines (base 2000),monthly,log,continuity,6,1,6,6,-0.073421,0.034107,-0.154588,0.007746,0.02475,False,False,,,0.002292,
industrial_prices: Mines (base 2000),monthly,log,continuity,12,0,12,13,-0.113859,0.045828,-0.252416,0.024698,0.063174,False,False,,,0.002292,
industrial_prices: Mines (base 2000),monthly,log,continuity,12,1,12,12,-0.176423,0.037748,-0.317264,-0.035583,0.078751,True,False,,,0.002292,
industrial_prices: Mines (base 2000),monthly,log,continuity,24,0,24,24,-0.025427,0.066387,-0.383416,0.332563,0.248793,False,True,,,0.002292,
industrial_prices: Mines (base 2000),monthly,log,continuity,24,1,24,23,-0.038675,0.077333,-0.44566,0.368311,0.279785,False,True,,,0.002292,
industrial_prices: Mines (base 2000),monthly,log,continuity,36,0,36,24,0.089563,0.101108,-0.534952,0.714079,0.458208,False,True,,,0.002292,
industrial_prices: Mines (base 2000),monthly,log,continuity,36,1,36,23,0.086125,0.112202,-0.592666,0.764916,0.494235,False,True,,,0.002292,
industrial_prices: Mines (base 2000),monthly,log,continuity,60,0,60,24,-0.164751,0.11959,-1.35519,1.025688,0.99373,False,True,,,0.002292,
industrial_prices: Mines (base 2000),monthly,log,continuity,60,1,60,23,-0.164961,0.118377,-1.39123,1.061309,1.031556,False,True,,,0.002292,
industrial_prices: Mines (base 2000),monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.451632,0.0005827505827505828,0.002292,
industrial_prices: Mines (base 2000),monthly,log,randomisation,12,0,12,13,,,,,,False,False,0.00085,1.9229659827317656e-07,0.002292,
industrial_prices: Mines (base 2010),monthly,log,continuity,6,0,6,7,0.010284,0.015022,-0.027212,0.047779,0.012726,False,True,,,0.001737,
industrial_prices: Mines (base 2010),monthly,log,continuity,6,1,6,6,-0.01908,0.035906,-0.098056,0.059896,0.018754,False,False,,,0.001737,
industrial_prices: Mines (base 2010),monthly,log,continuity,12,0,12,13,-0.032058,0.028051,-0.126067,0.061952,0.04787,False,True,,,0.001737,
industrial_prices: Mines (base 2010),monthly,log,continuity,12,1,12,12,-0.076682,0.024679,-0.176948,0.023585,0.059673,False,False,,,0.001737,
industrial_prices: Mines (base 2010),monthly,log,continuity,24,0,12,25,-0.002529,0.0285,-0.180332,0.175273,0.130925,False,True,,,0.001737,
industrial_prices: Mines (base 2010),monthly,log,continuity,24,1,12,24,-0.01167,0.037218,-0.227296,0.203957,0.154408,False,True,,,0.001737,
industrial_prices: Mines (base 2010),monthly,log,continuity,36,0,12,37,0.111132,0.076865,-0.260904,0.483168,0.245604,False,True,,,0.001737,
industrial_prices: Mines (base 2010),monthly,log,continuity,36,1,12,36,0.126103,0.086268,-0.296592,0.548797,0.280796,False,True,,,0.001737,
industrial_prices: Mines (base 2010),monthly,log,continuity,60,0,12,61,0.289579,0.131403,-0.538381,1.117539,0.611821,False,True,,,0.001737,
industrial_prices: Mines (base 2010),monthly,log,continuity,60,1,12,60,0.317095,0.13276,-0.571721,1.205911,0.670445,False,True,,,0.001737,
industrial_prices: Mines (base 2010),monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.030303,0.0005827505827505828,0.001737,
industrial_prices: Mines (base 2010),monthly,log,randomisation,12,0,12,13,,,,,,False,False,0.0002,1.9229659827317656e-07,0.001737,
"industrial_prices: Textiles, habillement et cuirs (base 2000)",monthly,log,continuity,6,0,6,7,0.057456,0.004173,0.045278,0.069634,0.005312,True,False,,,0.000725,
"industrial_prices: Textiles, habillement et cuirs (base 2000)",monthly,log,continuity,6,1,6,6,0.067595,0.007079,0.048118,0.087072,0.007829,True,False,,,0.000725,
"industrial_prices: Textiles, habillement et cuirs (base 2000)",monthly,log,continuity,12,0,12,13,0.076415,0.009879,0.040184,0.112646,0.019982,True,False,,,0.000725,
"industrial_prices: Textiles, habillement et cuirs (base 2000)",monthly,log,continuity,12,1,12,12,0.093056,0.008717,0.053808,0.132303,0.024909,True,False,,,0.000725,
"industrial_prices: Textiles, habillement et cuirs (base 2000)",monthly,log,continuity,24,0,24,24,0.07775,0.007087,-0.012603,0.168102,0.078695,False,True,,,0.000725,
"industrial_prices: Textiles, habillement et cuirs (base 2000)",monthly,log,continuity,24,1,24,23,0.088379,0.00519,-0.008656,0.185414,0.088498,False,True,,,0.000725,
"industrial_prices: Textiles, habillement et cuirs (base 2000)",monthly,log,continuity,36,0,36,24,0.084743,0.008492,-0.074159,0.243645,0.144934,False,True,,,0.000725,
"industrial_prices: Textiles, habillement et cuirs (base 2000)",monthly,log,continuity,36,1,36,23,0.094286,0.005577,-0.071217,0.25979,0.15633,False,True,,,0.000725,
"industrial_prices: Textiles, habillement et cuirs (base 2000)",monthly,log,continuity,60,0,60,24,0.073261,0.007276,-0.253031,0.399553,0.314323,False,True,,,0.000725,
"industrial_prices: Textiles, habillement et cuirs (base 2000)",monthly,log,continuity,60,1,60,23,0.082255,0.006049,-0.220187,0.384697,0.326288,False,True,,,0.000725,
"industrial_prices: Textiles, habillement et cuirs (base 2000)",monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.001166,0.0005827505827505828,0.000725,
"industrial_prices: Textiles, habillement et cuirs (base 2000)",monthly,log,randomisation,12,0,12,13,,,,,,False,False,5e-05,1.9229659827317656e-07,0.000725,
"industrial_prices: Textiles, habillement et cuirs (base 2010)",monthly,log,continuity,6,0,6,7,0.006518,0.001348,0.003569,0.009466,0.000684,True,False,,,9.3e-05,
"industrial_prices: Textiles, habillement et cuirs (base 2010)",monthly,log,continuity,6,1,6,6,0.010509,0.001967,0.006199,0.01482,0.001008,True,False,,,9.3e-05,
"industrial_prices: Textiles, habillement et cuirs (base 2010)",monthly,log,continuity,12,0,12,13,0.007817,0.002778,0.000669,0.014965,0.002573,True,False,,,9.3e-05,
"industrial_prices: Textiles, habillement et cuirs (base 2010)",monthly,log,continuity,12,1,12,12,0.012726,0.002668,0.005129,0.020323,0.003208,True,False,,,9.3e-05,
"industrial_prices: Textiles, habillement et cuirs (base 2010)",monthly,log,continuity,24,0,12,25,-0.002731,0.005931,-0.019526,0.014064,0.007037,False,True,,,9.3e-05,
"industrial_prices: Textiles, habillement et cuirs (base 2010)",monthly,log,continuity,24,1,12,24,-0.002332,0.006877,-0.021946,0.017281,0.0083,False,True,,,9.3e-05,
"industrial_prices: Textiles, habillement et cuirs (base 2010)",monthly,log,continuity,36,0,12,37,-0.003949,0.005042,-0.025444,0.017546,0.013202,False,True,,,9.3e-05,
"industrial_prices: Textiles, habillement et cuirs (base 2010)",monthly,log,continuity,36,1,12,36,-0.0038,0.005399,-0.027774,0.020174,0.015093,False,True,,,9.3e-05,
"industrial_prices: Textiles, habillement et cuirs (base 2010)",monthly,log,continuity,60,0,12,61,0.003291,0.004654,-0.03725,0.043833,0.032887,False,True,,,9.3e-05,
"industrial_prices: Textiles, habillement et cuirs (base 2010)",monthly,log,continuity,60,1,12,60,0.004184,0.004958,-0.040008,0.048376,0.036038,False,True,,,9.3e-05,
"industrial_prices: Textiles, habillement et cuirs (base 2010)",monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.001166,0.0005827505827505828,9.3e-05,
"industrial_prices: Textiles, habillement et cuirs (base 2010)",monthly,log,randomisation,12,0,12,13,,,,,,False,False,5e-05,1.9229659827317656e-07,9.3e-05,
money_orders,monthly,log,continuity,6,0,6,7,-0.037687,0.029635,-0.096555,0.02118,0.004895,False,False,,,0.000668,
money_orders,monthly,log,continuity,6,1,6,6,0.059343,0.012451,0.03136,0.087327,0.007213,True,False,,,0.000668,
money_orders,monthly,log,continuity,12,0,12,13,-0.046411,0.014278,-0.08831,-0.004512,0.018412,True,False,,,0.000668,
money_orders,monthly,log,continuity,12,1,12,12,-0.0059,0.018729,-0.059661,0.047862,0.022952,False,True,,,0.000668,
money_orders,monthly,log,continuity,24,0,24,25,-0.068033,0.014417,-0.164258,0.028192,0.072511,False,True,,,0.000668,
money_orders,monthly,log,continuity,24,1,24,24,-0.056474,0.020746,-0.172141,0.059193,0.081543,False,True,,,0.000668,
money_orders,monthly,log,continuity,36,0,36,37,-0.050255,0.012772,-0.233941,0.13343,0.162678,False,True,,,0.000668,
money_orders,monthly,log,continuity,36,1,36,36,-0.040803,0.015596,-0.24267,0.161063,0.176214,False,True,,,0.000668,
money_orders,monthly,log,continuity,60,0,60,61,-0.037162,0.018822,-0.519337,0.445012,0.451215,False,True,,,0.000668,
money_orders,monthly,log,continuity,60,1,60,60,-0.029856,0.020227,-0.53689,0.477179,0.473763,False,True,,,0.000668,
money_orders,monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.090326,0.0005827505827505828,0.000668,
money_orders,monthly,log,randomisation,12,0,12,13,,,,,,False,False,0.256237,1.9229659827317656e-07,0.000668,
road_deaths,monthly,log,continuity,6,0,6,7,0.042199,0.036471,-0.029285,0.113683,0.000308,False,False,,,4.2e-05,
road_deaths,monthly,log,continuity,6,1,6,6,0.115608,0.036635,0.043799,0.187417,0.000454,True,False,,,4.2e-05,
road_deaths,monthly,log,continuity,12,0,12,13,0.019021,0.042515,-0.064338,0.10238,0.001159,False,False,,,4.2e-05,
road_deaths,monthly,log,continuity,12,1,12,12,0.087138,0.042495,0.0038,0.170476,0.001445,True,False,,,4.2e-05,
road_deaths,monthly,log,continuity,24,0,15,25,0.145375,0.061998,0.023618,0.267132,0.003924,True,False,,,4.2e-05,
road_deaths,monthly,log,continuity,24,1,15,24,0.202136,0.052584,0.098698,0.305574,0.004493,True,False,,,4.2e-05,
road_deaths,monthly,log,continuity,36,0,27,37,0.21684,0.061779,0.094333,0.339347,0.009518,True,False,,,4.2e-05,
road_deaths,monthly,log,continuity,36,1,27,36,0.265119,0.047622,0.169609,0.360629,0.01037,True,False,,,4.2e-05,
road_deaths,monthly,log,continuity,60,0,51,61,0.224243,0.049815,0.114715,0.333772,0.025972,True,False,,,4.2e-05,
road_deaths,monthly,log,continuity,60,1,51,60,0.257557,0.037554,0.168055,0.34706,0.027392,True,False,,,4.2e-05,
road_deaths,monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.097902,0.0005827505827505828,4.2e-05,
road_deaths,monthly,log,randomisation,12,0,12,13,,,,,,False,False,0.002,1.9229659827317656e-07,4.2e-05,
road_injuries,monthly,log,continuity,6,0,6,7,-0.743856,0.084695,-0.909858,-0.577854,0.00052,True,False,,,7.1e-05,
road_injuries,monthly,log,continuity,6,1,6,6,-0.505976,0.103177,-0.708205,-0.303747,0.000767,True,False,,,7.1e-05,
road_injuries,monthly,log,continuity,12,0,12,13,-0.483024,0.120017,-0.718285,-0.247764,0.001957,True,False,,,7.1e-05,
road_injuries,monthly,log,continuity,12,1,12,12,-0.275313,0.077162,-0.426623,-0.124004,0.002439,True,False,,,7.1e-05,
road_injuries,monthly,log,continuity,24,0,24,25,-0.224118,0.105153,-0.430766,-0.017469,0.007707,True,False,,,7.1e-05,
road_injuries,monthly,log,continuity,24,1,24,24,-0.08313,0.064476,-0.210635,0.044375,0.008667,False,False,,,7.1e-05,
road_injuries,monthly,log,continuity,36,0,36,37,-0.116223,0.103555,-0.321986,0.08954,0.01729,False,False,,,7.1e-05,
road_injuries,monthly,log,continuity,36,1,36,36,-0.009011,0.061964,-0.135807,0.117785,0.018729,False,True,,,7.1e-05,
road_injuries,monthly,log,continuity,60,0,60,61,0.018969,0.10753,-0.211133,0.24907,0.047957,False,True,,,7.1e-05,
road_injuries,monthly,log,continuity,60,1,60,60,0.094225,0.071516,-0.074526,0.262975,0.050354,False,False,,,7.1e-05,
road_injuries,monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.378788,0.0005827505827505828,7.1e-05,
road_injuries,monthly,log,randomisation,12,0,12,13,,,,,,False,False,0.896105,1.9229659827317656e-07,7.1e-05,
tourist_departures,monthly,log,continuity,6,0,6,4,-0.393701,0.168057,-0.723889,-0.063514,0.011737,True,False,,,0.001865,
tourist_departures,monthly,log,continuity,6,1,0,0,,,,,,False,False,,,0.001865,"bandwidth 6 leaves 4 residual degrees of freedom (8 observations, 4 parameters); too few to fit"
tourist_departures,monthly,log,continuity,12,0,12,7,-0.471123,0.085275,-0.659217,-0.283028,0.04519,True,False,,,0.001865,
tourist_departures,monthly,log,continuity,12,1,12,6,-0.625581,0.127213,-0.896645,-0.354516,0.055163,True,False,,,0.001865,
tourist_departures,monthly,log,continuity,24,0,24,19,-0.546529,0.066494,-0.836928,-0.25613,0.181025,True,False,,,0.001865,
tourist_departures,monthly,log,continuity,24,1,24,18,-0.614217,0.087963,-0.968464,-0.25997,0.20956,True,False,,,0.001865,
tourist_departures,monthly,log,continuity,36,0,36,31,-0.508296,0.061512,-1.081541,0.064948,0.472067,False,False,,,0.001865,
tourist_departures,monthly,log,continuity,36,1,36,30,-0.537134,0.083608,-1.213103,0.138836,0.538447,False,True,,,0.001865,
tourist_departures,monthly,log,continuity,60,0,60,55,-0.430112,0.077519,-1.987101,1.126877,1.429482,False,True,,,0.001865,
tourist_departures,monthly,log,continuity,60,1,60,54,-0.42773,0.089974,-2.128347,1.272887,1.552623,False,True,,,0.001865,
tourist_departures,monthly,log,randomisation,6,0,6,4,,,,,,False,False,0.004762,0.004761904761904762,0.001865,
tourist_departures,monthly,log,randomisation,12,0,12,7,,,,,,False,False,5e-05,1.9845995078193222e-05,0.001865,
tourist_entries,monthly,log,continuity,6,0,6,4,-0.629947,0.068572,-0.765095,-0.494799,0.007252,True,False,,,0.001152,
tourist_entries,monthly,log,continuity,6,1,0,0,,,,,,False,False,,,0.001152,"bandwidth 6 leaves 4 residual degrees of freedom (8 observations, 4 parameters); too few to fit"
tourist_entries,monthly,log,continuity,12,0,12,7,-0.557158,0.045418,-0.660638,-0.453677,0.027922,True,False,,,0.001152,
tourist_entries,monthly,log,continuity,12,1,12,6,-0.545616,0.067355,-0.692874,-0.398357,0.034085,True,False,,,0.001152,
tourist_entries,monthly,log,continuity,24,0,24,14,-0.604617,0.063884,-0.8134,-0.395834,0.103703,True,False,,,0.001152,
tourist_entries,monthly,log,continuity,24,1,24,13,-0.568449,0.072646,-0.806484,-0.330414,0.118543,True,False,,,0.001152,
tourist_entries,monthly,log,continuity,36,0,36,26,-0.506775,0.09039,-0.92349,-0.09006,0.268038,True,False,,,0.001152,
tourist_entries,monthly,log,continuity,36,1,36,25,-0.446839,0.094335,-0.905687,0.01201,0.303681,False,False,,,0.001152,
tourist_entries,monthly,log,continuity,60,0,60,50,-0.357892,0.124334,-1.416553,0.70077,0.854151,False,True,,,0.001152,
tourist_entries,monthly,log,continuity,60,1,60,49,-0.28875,0.118261,-1.42046,0.842959,0.937188,False,True,,,0.001152,
tourist_entries,monthly,log,randomisation,6,0,6,4,,,,,,False,False,0.004762,0.004761904761904762,0.001152,
tourist_entries,monthly,log,randomisation,12,0,12,7,,,,,,False,False,0.00025,1.9845995078193222e-05,0.001152,
