outcome,frequency,scale,method,bandwidth,donut,n_left,n_right,tau,se,honest_lo,honest_hi,worst_case_bias,honest_excludes_zero,bias_exceeds_estimate,randomisation_p,randomisation_floor,smoothness,refused
industrial_prices: Industries agro-alimentaires (base 2000),monthly,log,randomisation,12,0,12,13,,,,,,False,False,5e-05,1.9229659827317656e-07,0.000573,
industrial_prices: Industries agro-alimentaires (base 2010),monthly,log,continuity,6,0,6,7,-0.004579,0.000574,-0.00654,-0.002618,0.001017,True,False,,,0.000139,
industrial_prices: Industries agro-alimentaires (base 2010),monthly,log,continuity,6,1,6,6,-0.004719,0.000708,-0.007383,-0.002055,0.001499,True,False,,,0.000139,
industrial_prices: Industries agro-alimentaires (base 2010),monthly,log,continuity,12,0,12,13,-0.005955,0.00231,-0.013581,0.001672,0.003827,False,False,,,0.000139,
industrial_prices: Industries agro-alimentaires (base 2010),monthly,log,continuity,12,1,12,12,-0.009475,0.002528,-0.018403,-0.000547,0.00477,True,False,,,0.000139,
industrial_prices: Industries agro-alimentaires (base 2010),monthly,log,continuity,24,0,12,25,-0.005335,0.002393,-0.019736,0.009066,0.010466,False,True,,,0.000139,
industrial_prices: Industries agro-alimentaires (base 2010),monthly,log,continuity,24,1,12,24,-0.007238,0.002531,-0.023744,0.009269,0.012343,False,True,,,0.000139,
industrial_prices: Industries agro-alimentaires (base 2010),monthly,log,continuity,36,0,12,37,-0.00507,0.002119,-0.028188,0.018048,0.019633,False,True,,,0.000139,
industrial_prices: Industries agro-alimentaires (base 2010),monthly,log,continuity,36,1,12,36,-0.006285,0.002308,-0.032528,0.019957,0.022446,False,True,,,0.000139,
industrial_prices: Industries agro-alimentaires (base 2010),monthly,log,continuity,60,0,12,61,0.00288,0.005569,-0.055187,0.060947,0.048907,False,True,,,0.000139,
industrial_prices: Industries agro-alimentaires (base 2010),monthly,log,continuity,60,1,12,60,0.002992,0.006031,-0.06052,0.066505,0.053593,False,True,,,0.000139,
industrial_prices: Industries agro-alimentaires (base 2010),monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.000583,0.0005827505827505828,0.000139,
industrial_prices: Industries agro-alimentaires (base 2010),monthly,log,randomisation,12,0,12,13,,,,,,False,False,5e-05,1.9229659827317656e-07,0.000139,
industrial_prices: Industries chimiques (base 2000),monthly,log,continuity,6,0,6,7,-0.003682,0.001371,-0.011309,0.003946,0.005372,False,True,,,0.000733,
industrial_prices: Industries chimiques (base 2000),monthly,log,continuity,6,1,6,6,-0.008064,0.002468,-0.020042,0.003913,0.007917,False,False,,,0.000733,
industrial_prices: Industries chimiques (base 2000),monthly,log,continuity,12,0,12,13,-0.002767,0.00203,-0.026315,0.020781,0.020209,False,True,,,0.000733,
industrial_prices: Industries chimiques (base 2000),monthly,log,continuity,12,1,12,12,-0.004057,0.002343,-0.033102,0.024988,0.025192,False,True,,,0.000733,
industrial_prices: Industries chimiques (base 2000),monthly,log,continuity,24,0,24,24,0.003498,0.007816,-0.088944,0.095941,0.079587,False,True,,,0.000733,
industrial_prices: Industries chimiques (base 2000),monthly,log,continuity,24,1,24,23,0.006686,0.008707,-0.097136,0.110509,0.089501,False,True,,,0.000733,
