governorate,year,indicator,breakdown,value,unit,n_editions,agreement,source_title
Jendouba,2002,bank_branches,,23.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2003,bank_branches,,23.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2004,bank_branches,,23.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2005,bank_branches,,23.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2006,bank_branches,,27.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2007,bank_branches,,29.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2008,bank_branches,,26.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2010,bank_branches,,28.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2011,bank_branches,,28.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2012,bank_branches,,28.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2013,bank_branches,,29.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2014,bank_branches,,29.0,branches,6,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2015,bank_branches,,31.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2016,bank_branches,,32.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2017,bank_branches,,34.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2018,bank_branches,,36.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,1995,bank_branches,,24.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,1996,bank_branches,,24.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,1997,bank_branches,,24.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,1998,bank_branches,,24.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,1999,bank_branches,,24.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2000,bank_branches,,24.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2001,bank_branches,,24.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2002,bank_branches,,24.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2003,bank_branches,,25.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2004,bank_branches,,25.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2005,bank_branches,,25.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2006,bank_branches,,25.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2007,bank_branches,,26.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2008,bank_branches,,26.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2010,bank_branches,,27.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
