indicator,year,governorate,breakdown,summed,printed,gap,reason
population_by_age,2008,Jendouba,05-09,,,0.29999999999999716,men plus women do not make the figure printed for both sexes
population_by_age,2008,Jendouba,10-14,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2008,Jendouba,15-19,,,0.6000000000000085,men plus women do not make the figure printed for both sexes
population_by_age,2008,Jendouba,25-29,,,0.4000000000000057,men plus women do not make the figure printed for both sexes
population_by_age,2008,Jendouba,30-34,,,0.30000000000000426,men plus women do not make the figure printed for both sexes
population_by_age,2009,Jendouba,45-49,,,1.1000000000000014,men plus women do not make the figure printed for both sexes
population_by_age,2009,Jendouba,50-54,,,4.199999999999999,men plus women do not make the figure printed for both sexes
population_by_age,2009,Jendouba,55-59,,,3.8999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2009,Jendouba,60-64,,,3.0999999999999996,men plus women do not make the figure printed for both sexes
population_by_age,2009,Jendouba,65-69,,,1.8000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2009,Jendouba,70-74,,,2.500000000000001,men plus women do not make the figure printed for both sexes
population_by_age,2009,Jendouba,75-79,,,2.0,men plus women do not make the figure printed for both sexes
population_by_age,2009,Jendouba,80+,,,1.2999999999999998,men plus women do not make the figure printed for both sexes
population_by_age,2014,Jendouba,00-04,,,0.8000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2007,Kairouan,45-49,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2007,Kairouan,50-54,,,0.1999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2007,Kairouan,55-59,,,0.6000000000000014,men plus women do not make the figure printed for both sexes
population_by_age,2007,Kairouan,60-64,,,0.20000000000000107,men plus women do not make the figure printed for both sexes
population_by_age,2007,Kairouan,65-69,,,0.20000000000000107,men plus women do not make the figure printed for both sexes
population_by_age,2007,Kairouan,75-79,,,0.20000000000000018,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kairouan,00-04,,,0.20000000000000284,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kairouan,05-09,,,0.20000000000000284,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kairouan,10-14,,,0.7999999999999972,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kairouan,15-19,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kairouan,20-24,,,0.19999999999999574,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kairouan,25-29,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kairouan,30-34,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kairouan,35-39,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kairouan,40-44,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2014,Kairouan,00-04,,,4.5,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kairouan,45-49,,,3.3000000000000043,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kairouan,50-54,,,3.099999999999998,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kairouan,55-59,,,4.600000000000001,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kairouan,60-64,,,2.6999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kairouan,65-69,,,2.6999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kairouan,70-74,,,1.9000000000000004,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kairouan,75-79,,,1.5,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kairouan,80+,,,1.8000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2007,Kasserine,45-49,,,0.40000000000000213,men plus women do not make the figure printed for both sexes
population_by_age,2007,Kasserine,55-59,,,0.40000000000000036,men plus women do not make the figure printed for both sexes
population_by_age,2007,Kasserine,60-64,,,0.1999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2007,Kasserine,65-69,,,0.1999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2007,Kasserine,75-79,,,0.20000000000000018,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kasserine,05-09,,,0.20000000000000284,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kasserine,10-14,,,0.6999999999999957,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kasserine,15-19,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kasserine,20-24,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kasserine,25-29,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kasserine,30-34,,,0.40000000000000213,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kasserine,35-39,,,0.29999999999999716,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kasserine,40-44,,,0.20000000000000284,men plus women do not make the figure printed for both sexes
population_by_age,2014,Kasserine,00-04,,,1.8999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kasserine,45-49,,,0.29999999999999716,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kasserine,50-54,,,0.1999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kasserine,55-59,,,1.1000000000000014,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kasserine,60-64,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kasserine,65-69,,,0.1999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kasserine,70-74,,,0.2999999999999998,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kasserine,75-79,,,0.39999999999999947,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kasserine,80+,,,1.0,men plus women do not make the figure printed for both sexes
population_by_age,2007,Kébili,50-54,,,0.20000000000000018,men plus women do not make the figure printed for both sexes
population_by_age,2007,Kébili,55-59,,,0.20000000000000018,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kébili,10-14,,,0.29999999999999893,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kébili,15-19,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2008,Kébili,25-29,,,0.20000000000000107,men plus women do not make the figure printed for both sexes
population_by_age,2014,Kébili,00-04,,,1.9000000000000004,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kébili,45-49,,,13.700000000000001,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kébili,50-54,,,12.7,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kébili,55-59,,,11.7,men plus women do not make the figure printed for both sexes
