product_code,product_label_fr,consumption_function_code,consumption_function,consumption_function_fr
1121,Fève trempée,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1123,Pois chiche trempé,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1126,Haricot trempé,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1129,Autres légumineuses trempées,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1131,Fève vert,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1133,Pois chiche vert,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1135,Petit pois vers,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1136,Haricot vert,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1139,Autres légumineuses vertes (Helba...),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1145,Petit pois en conserve,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1146,Haricot en conserve,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1149,Autres légumineuses en conserve,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1151,Sel,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1161,Poivre,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1162,Tabel,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1163,Carouia,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1164,Tabel et  Carouia,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1165,Cumin (camoun),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1166,Korkom,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1167,Naânaâ sec,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1168,Mloukhia en poudre,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1169,Autres condiments,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1171,Naânaâ vert,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1172,Feuilles de coriandre (rand),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1173,Mloukhia feuilles vertes,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1179,Autres condiments verts,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1181,Vinaigre,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1191,Condiments sans autres indications,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1201,Piments frais,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1211,Tomates fraîches,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1212,Tomates sèches,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1221,Oignon vert,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1222,Oignon sec,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1223,Ail sec,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1224,Ail vert,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1231,Navet,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1232,carotte,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1233,Radis,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1234,betterave,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1235,Poireaux,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1239,Autres légumes à bulbe et tubercules,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1241,Blette,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1242,Epinard,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1243,Choux,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1244,Feuille de fenouil,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1245,Salade verte (laitue…),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1246,Persil,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1247,Cèleri,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1248,Choux fleur,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1249,Autres légumes à feuilles vertes,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1251,Pomme de terre,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1261,Aubergine,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1262,Courge,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1263,Courgette,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1264,Artichaut,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1265,Concombre,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1266,Cardon,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1267,Fenouil,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1268,Gombo,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1269,"Autres légumes (champignons,,,)",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1271,Harissa industrielle,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1272,Harissa « diari »,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1273,Piment sec moulu,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1274,Piment sec en gousse,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1275,Salade michwia en boite,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1281,"Tomate en conserve industrielle (en boite, en vrac)",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1282,Ketchup +sauce pizza +autre sauce(sauce barbacus…),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1291,Olive en conserve,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1292,Variantes,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1293,Câpre en conserve,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1294,Piment frais en conserve,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1295,champignons en conserve,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1296,Maïs en conserve,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1299,Autres produits en conserve,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1301,Clémentine (mandarine),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1303,Orange,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1304,Citron,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1309,Autres agrumes (pamplemousse…),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1310,figue,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1311,Grenade,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1312,Raisin de table,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1313,Pomme,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1314,Poire,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1315,Melon,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1316,Pastèque,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
